spec,trinomial,temporal,region,temp.reg
489,41cp20,LC,north,LCN
490,41cp20,LC,north,LCN
553,41cp12,LC,north,LCN
554,41cp12,LC,north,LCN
555,41cp12,LC,north,LCN
556,41cp12,LC,north,LCN
558,41cp12,LC,north,LCN
559,41cp12,LC,north,LCN
562,41cp12,LC,north,LCN
565,41cp12,LC,north,LCN
591,41cp12,LC,north,LCN
598,41cp5,LC,north,LCN
645,41cp5,LC,north,LCN
646,41cp5,LC,north,LCN
647,41cp5,LC,north,LCN
648,41cp5,LC,north,LCN
649,41cp5,LC,north,LCN
650,41cp5,LC,north,LCN
651,41cp5,LC,north,LCN
652,41cp5,LC,north,LCN
653,41cp5,LC,north,LCN
654,41cp5,LC,north,LCN
655,41cp5,LC,north,LCN
656,41cp5,LC,north,LCN
657,41cp5,LC,north,LCN
658,41cp5,LC,north,LCN
659,41cp5,LC,north,LCN
660,41cp5,LC,north,LCN
661,41cp5,LC,north,LCN
665,41cp12,LC,north,LCN
677,41cp20,LC,north,LCN
678,41cp20,LC,north,LCN
an51-fig26a,41an51,MC,south,MCS
an51-fig26c,41an51,MC,south,MCS
an115-fig7,41an115,MC,south,MCS
cp220-fig11-12a,41cp220,LC,north,LCN
cp495-fig16h,41cp495,LC,north,LCN
cp495-fig16i,41cp495,LC,north,LCN
hc2-fig30a,hcreek2,MC,south,MCS
hc2-fig30b,hcreek2,MC,south,MCS
hc2-fig30c,hcreek2,MC,south,MCS
hc2-fig30d,hcreek2,MC,south,MCS
hc2-fig30f,hcreek2,MC,south,MCS
hc2-fig30h,hcreek2,MC,south,MCS
hc2-fig30i,hcreek2,MC,south,MCS
hc2-fig30l,hcreek2,MC,south,MCS
hc2-fig30m,hcreek2,MC,south,MCS
hc2-fig30n,hcreek2,MC,south,MCS
hs15-fig7.1r,41hs15,LC,north,LCN
hs15-fig7.1t,41hs15,LC,north,LCN
hs15-fig7.1u,41hs15,LC,north,LCN
hs15-fig7.1v,41hs15,LC,north,LCN
hs15-fig7.1w,41hs15,LC,north,LCN
hs15-fig7.1x,41hs15,LC,north,LCN
hs15-fig7.2b,41hs15,LC,north,LCN
hs15-fig7.2c,41hs15,LC,north,LCN
hs15-fig7.2d,41hs15,LC,north,LCN
hs15-fig7.2e,41hs15,LC,north,LCN
hs15-fig7.2f,41hs15,LC,north,LCN
hs15-fig7.2g,41hs15,LC,north,LCN
hs15-fig7.2m,41hs15,LC,north,LCN
hs15-fig7.2o,41hs15,LC,north,LCN
hs15-fig7.2q,41hs15,LC,north,LCN
hs15-fig7.2r,41hs15,LC,north,LCN
hs15-fig7.3a,41hs15,LC,north,LCN
hs15-fig7.3aa,41hs15,LC,north,LCN
hs15-fig7.3b,41hs15,LC,north,LCN
hs15-fig7.3bb,41hs15,LC,north,LCN
hs15-fig7.3cc,41hs15,LC,north,LCN
hs15-fig7.3d,41hs15,LC,north,LCN
hs15-fig7.3e,41hs15,LC,north,LCN
hs15-fig7.3f,41hs15,LC,north,LCN
hs15-fig7.3g,41hs15,LC,north,LCN
hs15-fig7.3h,41hs15,LC,north,LCN
hs15-fig7.3i,41hs15,LC,north,LCN
hs15-fig7.3j,41hs15,LC,north,LCN
hs15-fig7.3k,41hs15,LC,north,LCN
hs15-fig7.3l,41hs15,LC,north,LCN
hs15-fig7.3m,41hs15,LC,north,LCN
hs15-fig7.3n,41hs15,LC,north,LCN
hs15-fig7.3o,41hs15,LC,north,LCN
hs15-fig7.3p,41hs15,LC,north,LCN
hs15-fig7.3q,41hs15,LC,north,LCN
hs15-fig7.3r,41hs15,LC,north,LCN
hs15-fig7.3s,41hs15,LC,north,LCN
hs15-fig7.3t,41hs15,LC,north,LCN
hs15-fig7.3u,41hs15,LC,north,LCN
hs15-fig7.3w,41hs15,LC,north,LCN
hs15-fig7.3x,41hs15,LC,north,LCN
hs15-fig7.3y,41hs15,LC,north,LCN
hs15-fig7.3z,41hs15,LC,north,LCN
hs235-fig17,41hs235,LC,north,LCN
hs269-fig12j,41hs269,MC,north,MCN
na206-fig12a,41na206,HC,south,HCS
na206-fig12b,41na206,HC,south,HCS
na206-fig12d,41na206,HC,south,HCS
na206-fig12f,41na206,HC,south,HCS
na206-fig12g,41na206,HC,south,HCS
na49-1,41na49,MC,south,MCS
na49-10,41na49,MC,south,MCS
na49-11,41na49,MC,south,MCS
na49-12,41na49,MC,south,MCS
na49-13,41na49,MC,south,MCS
na49-137,41na49,MC,south,MCS
na49-14,41na49,MC,south,MCS
na49-149,41na49,MC,south,MCS
na49-176,41na49,MC,south,MCS
na49-187,41na49,MC,south,MCS
na49-195,41na49,MC,south,MCS
na49-2,41na49,MC,south,MCS
na49-271,41na49,MC,south,MCS
na49-3,41na49,MC,south,MCS
na49-33,41na49,MC,south,MCS
na49-4,41na49,MC,south,MCS
na49-5,41na49,MC,south,MCS
na49-587,41na49,MC,south,MCS
na49-616,41na49,MC,south,MCS
na49-7,41na49,MC,south,MCS
na49-734,41na49,MC,south,MCS
na49-8,41na49,MC,south,MCS
na49-9,41na49,MC,south,MCS
sa135-fig15b,41sa135,MC,south,MCS
sa135-fig15c,41sa135,MC,south,MCS
sa135-fig15g,41sa135,MC,south,MCS
sm193-fig1e,41sm193,MC,north,MCN
sm193-fig2a,41sm193,MC,north,MCN
sm193-fig2b,41sm193,MC,north,MCN
sm193-fig2e,41sm193,MC,north,MCN
sm193-fig2f,41sm193,MC,north,MCN
sm193-fig2g,41sm193,MC,north,MCN
sm195-fig8,41sm195,MC,north,MCN
sm442-fig19c,41sm442,MC,north,MCN
sm55-fig23,41sm55,MC,north,MCN
sy280-1,41sy280,LC,south,LCS
sy280-2,41sy280,LC,south,LCS
sy280-3,41sy280,LC,south,LCS
sy43-1,41sy43,LC,south,LCS
sy43-2,41sy43,LC,south,LCS
sy43-3,41sy43,LC,south,LCS
sy43-4,41sy43,LC,south,LCS
sy43-5,41sy43,LC,south,LCS
sy43-6,41sy43,LC,south,LCS
